29601,32,20
29602,32,20
29603,32,20
29604,1,
29605,32,20
29606,32,11
29607,32,11
29608,1,
29609,32,20
29610,1,
29613,32,20
29614,32,20
29615,32,20
29616,45,
29617,45,
29618,1,
29619,32,20
29620,1,
29621,32,20
29622,32,20
29623,32,20
29624,1,
29625,32,20
29626,32,20
29627,1,
29628,32,20
29629,45,
29630,32,20
29632,45,
29633,32,20
29634,59,
29635,32,20
29636,32,20
29637,45,
29638,32,20
29639,48,18
29640,45,
29641,32,11
29642,32,20
29643,32,20
29644,32,20
29645,1,
29646,32,20
29647,32,11
29648,32,20
29649,32,20
29650,32,20
29651,48,18
29653,59,
29654,32,20
29655,32,11
29656,32,20
29657,1,
29658,32,20
29659,32,11
29660,32,20
29661,32,20
29662,32,20
29663,32,20
29664,32,20
29665,32,20
29666,32,20
29667,32,20
29668,32,20
29669,32,20
29670,1,
29672,32,20
29673,71,
29674,32,20
29675,32,20
29676,32,20
29677,32,20
29678,32,20
29679,32,20
29681,32,20
29682,32,20
29683,59,
29684,32,20
29685,32,20
29686,32,20
29687,32,20
29688,1,
29689,32,20
29690,32,11
29691,32,20
29692,32,20
29693,32,11
29694,32,20
29695,32,20
29696,32,20
29697,45,
29698,32,20
29699,110,
29700,32,20
29701,32,20
29702,32,11
29703,32,20
29704,32,20
29705,32,20
29707,32,20
29708,32,20
29709,32,20
29710,32,20
29711,32,20
29712,32,20
29713,32,20
29714,32,20
29715,32,20
29716,32,20
29717,32,20
29718,32,20
29719,32,20
29720,45,
29721,32,20
29722,32,11
29723,32,20
29724,32,20
29725,32,20
29726,32,20
29728,32,20
29729,32,20
29731,32,20
29732,32,20
29734,32,20
29735,32,20
29736,32,20
29737,88,
29738,32,20
29739,45,
29740,32,20
29741,32,20
29742,32,20
29743,32,20
29744,32,20
29745,32,20
29746,32,20
29747,32,11
29748,32,20
29749,32,20
29751,32,20
29752,32,20
29753,32,20
29754,32,20
29755,32,20
29756,32,20
29757,32,20
29758,32,20
29759,32,20
29760,32,20
29761,32,20
29762,32,20
29763,32,20
29764,32,20
29765,32,20
29767,32,20
29768,32,20
29769,32,20
29770,32,20
29771,32,20
29772,32,20
29773,32,20
29774,32,20
29775,32,20
29776,32,20
